fase,nome_fase,capitulo,titulo,alunos_na_fase,alunos_alcancaram,alunos_alcancaram_prox,alunos_perdidos,taxa_queda,alunos_com_eventos,eventos_total,esforco_mediana_eventos,quiz_entregues,pct_html,pct_pdf,fase_em_andamento,esforco_relativo,indice_atrito
1,Fase 1 - Pensando Aplicação Mobile,1,Cap 1 - Vamos conhecer novos recursos de engenharia de software?,165,150,148.0,2.0,0.0133,90,435,2.0,0,0.721,0.279,False,0.4,0.0053
1,Fase 1 - Pensando Aplicação Mobile,2,Cap 2 - Sistemas Operacionais,165,148,144.0,4.0,0.027,144,3355,8.0,148,0.879,0.121,False,1.6,0.0432
1,Fase 1 - Pensando Aplicação Mobile,3,Cap 3 - Processos de tomada de decisão,165,144,142.0,2.0,0.0139,137,1014,6.0,172,0.81,0.19,False,1.2,0.0167
1,Fase 1 - Pensando Aplicação Mobile,4,Cap 4 - A casa do Android,165,142,140.0,2.0,0.0141,138,1162,5.0,160,0.822,0.178,False,1.0,0.0141
1,Fase 1 - Pensando Aplicação Mobile,5,Cap 5 - Layouts e componentes básicos no Jetpack,165,140,138.0,2.0,0.0143,133,1263,6.0,162,0.807,0.193,False,1.2,0.0171
1,Fase 1 - Pensando Aplicação Mobile,6,Cap 6 - Hadoop,165,138,136.0,2.0,0.0145,132,1037,5.0,144,0.661,0.339,False,1.0,0.0145
1,Fase 1 - Pensando Aplicação Mobile,7,Cap 7 - NoSQL e MongoDB,165,136,135.0,1.0,0.0074,131,883,5.0,146,0.858,0.142,False,1.0,0.0074
1,Fase 1 - Pensando Aplicação Mobile,8,Cap 8 - Introdução à CyberSecurity,165,135,133.0,2.0,0.0148,131,853,5.0,154,0.849,0.151,False,1.0,0.0148
1,Fase 1 - Pensando Aplicação Mobile,9,Cap 9 - CyberSecurity vs. Information Security,165,133,132.0,1.0,0.0075,129,791,5.0,150,0.86,0.14,False,1.0,0.0075
1,Fase 1 - Pensando Aplicação Mobile,10,Cap 10 - Servlets,165,132,,,,132,1236,5.0,147,0.901,0.099,False,1.0,0.0
2,Fase 2 - Serviços São Fundamentais,1,"Cap 1 - Nova fase, novos conhecimentos!",163,150,146.0,4.0,0.0267,118,316,2.0,0,0.848,0.152,False,0.471,0.0125
2,Fase 2 - Serviços São Fundamentais,2,"Cap 2 - Linux, o grande astro",163,146,143.0,3.0,0.0205,142,1119,4.5,165,0.88,0.12,False,1.059,0.0218
2,Fase 2 - Serviços São Fundamentais,3,Cap 3 - Linhas de comando básico,163,143,141.0,2.0,0.014,136,1192,5.0,154,0.868,0.132,False,1.176,0.0165
2,Fase 2 - Serviços São Fundamentais,4,Cap 4 - Administração de sistema e editor de texto,163,141,141.0,0.0,0.0,132,2489,4.0,140,0.949,0.051,False,0.941,0.0
2,Fase 2 - Serviços São Fundamentais,5,Cap 5 - JavaServer Pages,163,141,137.0,4.0,0.0284,137,1253,5.0,166,0.884,0.116,False,1.176,0.0334
2,Fase 2 - Serviços São Fundamentais,6,Cap 6 - Biblioteca JSP,163,137,137.0,0.0,0.0,131,897,4.0,139,0.829,0.171,False,0.941,0.0
2,Fase 2 - Serviços São Fundamentais,7,Cap 7 - Cards e Imagens,163,137,137.0,0.0,0.0,130,820,4.0,138,0.66,0.34,False,0.941,0.0
2,Fase 2 - Serviços São Fundamentais,8,Cap 8 - Navegação e Fluxo,163,137,135.0,2.0,0.0146,130,800,5.0,172,0.796,0.204,False,1.176,0.0172
2,Fase 2 - Serviços São Fundamentais,9,Cap 9 - Ambiente .NET,163,135,133.0,2.0,0.0148,128,1878,4.0,133,0.828,0.172,False,0.941,0.0139
2,Fase 2 - Serviços São Fundamentais,10,Cap 10 - Cloud Computing & Data Science aplicações na Nuvem,163,133,129.0,4.0,0.0301,128,2328,4.0,129,0.855,0.145,False,0.941,0.0283
2,Fase 2 - Serviços São Fundamentais,11,Cap 11 - Cloud Computing & Data Science Azure,163,129,123.0,6.0,0.0465,128,1500,5.0,170,0.856,0.144,False,1.176,0.0547
2,Fase 2 - Serviços São Fundamentais,12,Cap 12 - Introdução ao Direito Digital. Documentos e provas eletrônicas,163,123,,,,123,847,5.0,168,0.895,0.105,False,1.176,0.0
3,Fase 3 - Evolução Tecnológica,1,"Cap 1 - Avançando nos conhecimentos, mais tecnologias!",165,146,143.0,3.0,0.0205,119,12307,2.0,0,0.995,0.005,False,0.286,0.0059
3,Fase 3 - Evolução Tecnológica,2,Cap 2 - Introdução à ciência de dados,165,143,136.0,7.0,0.049,137,10074,9.0,160,0.902,0.098,False,1.286,0.0629
3,Fase 3 - Evolução Tecnológica,3,Cap 3 - Aprendizado Supervisionado: classificação,165,136,135.0,1.0,0.0074,130,7714,7.0,138,0.957,0.043,False,1.0,0.0074
