fase,capitulo,titulo,tipo_acao,prioridade,taxa_queda,esforco_relativo,indice_atrito,alunos_alcancaram,alunos_perdidos,recomendacao
3,2,Cap 2 - Introdução à ciência de dados,Reforçar,1,0.049,1.286,0.0629,143,7,"Queda relevante (4.9%, 7 alunos): adicionar resumo executivo no início, checkpoint de dúvidas com tutor e lembrete automático 3 dias após o acesso."
2,11,Cap 11 - Cloud Computing & Data Science Azure,Reforçar,1,0.0465,1.176,0.0547,129,6,"Queda relevante (4.7%, 6 alunos): adicionar resumo executivo no início, checkpoint de dúvidas com tutor e lembrete automático 3 dias após o acesso."
5,3,Cap 3 - APIs e Integração de Sistemas,Monitorar,2,0.1,4.0,0.4,70,7,Capítulo em andamento com esforço alto (4.0× o típico) e 10% dos alunos ainda não avançaram: acompanhar semanalmente e preparar sessão de dúvidas.
5,2,"Cap 2 - Conceitos de Serviços, SOA, microsserviços, MSA",Monitorar,2,0.1463,2.623,0.3838,82,12,Fase em andamento: 61 alunos ainda não chegaram ao capítulo 2. Disparar lembrete de início e destacar o capítulo na home do curso.
5,4,Cap 4 - Aprendizado não supervisionado,Monitorar,2,0.127,2.491,0.3163,63,8,Capítulo em andamento com esforço alto (2.5× o típico) e 13% dos alunos ainda não avançaram: acompanhar semanalmente e preparar sessão de dúvidas.
5,1,Cap 1 -  Soluções em tecnologias emergentes,Monitorar,2,0.1368,0.717,0.0981,95,13,Fase em andamento: 48 alunos ainda não chegaram ao capítulo 1. Disparar lembrete de início e destacar o capítulo na home do curso.
4,2,Cap 2 - Estudo de Caso,Simplificar,2,0.0221,3.417,0.0754,136,3,Esforço alto (3.4× o típico) com queda moderada (2.2%): conteúdo denso — publicar resumo/mapa mental e material de apoio em PDF.
1,2,Cap 2 - Sistemas Operacionais,Simplificar,2,0.027,1.6,0.0432,148,4,Esforço alto (1.6× o típico) com queda moderada (2.7%): conteúdo denso — publicar resumo/mapa mental e material de apoio em PDF.
4,3,Cap 3 - Persistência de Dados,Simplificar,2,0.0226,1.625,0.0367,133,3,Esforço alto (1.6× o típico) com queda moderada (2.3%): conteúdo denso — publicar resumo/mapa mental e material de apoio em PDF.
2,5,Cap 5 - JavaServer Pages,Reforçar,2,0.0284,1.176,0.0334,141,4,"Queda moderada (2.8%, 4 alunos): lembrete automático para quem parou aqui e checkpoint rápido de dúvidas."
4,4,Cap 4 - Padrões e Práticas Avançadas,Reforçar,2,0.0308,1.0,0.0308,130,4,"Queda moderada (3.1%, 4 alunos): lembrete automático para quem parou aqui e checkpoint rápido de dúvidas."
2,10,Cap 10 - Cloud Computing & Data Science aplicações na Nuvem,Reforçar,2,0.0301,0.941,0.0283,133,4,"Queda moderada (3.0%, 4 alunos): lembrete automático para quem parou aqui e checkpoint rápido de dúvidas."
2,1,"Cap 1 - Nova fase, novos conhecimentos!",Reforçar,2,0.0267,0.471,0.0125,150,4,"Queda moderada (2.7%, 4 alunos): lembrete automático para quem parou aqui e checkpoint rápido de dúvidas."
3,1,"Cap 1 - Avançando nos conhecimentos, mais tecnologias!",Onboarding,2,0.0205,0.286,0.0059,146,3,"19 alunos (12%) entraram na fase mas nunca abriram o capítulo 1: disparar trilha de boas-vindas, vídeo curto de abertura e lembrete no 3º dia sem acesso."
1,1,Cap 1 - Vamos conhecer novos recursos de engenharia de software?,Onboarding,2,0.0133,0.4,0.0053,150,2,"15 alunos (9%) entraram na fase mas nunca abriram o capítulo 1: disparar trilha de boas-vindas, vídeo curto de abertura e lembrete no 3º dia sem acesso."
4,1,Cap 1 - Integração de Sistemas e Soluções,Onboarding,2,0.0,0.958,0.0,136,0,"17 alunos (11%) entraram na fase mas nunca abriram o capítulo 1: disparar trilha de boas-vindas, vídeo curto de abertura e lembrete no 3º dia sem acesso."
2,8,Cap 8 - Navegação e Fluxo,Formato,3,0.0146,1.176,0.0172,137,2,"20% das leituras em PDF: demanda por material offline/impresso — garantir PDF atualizado, versão mobile e áudio-resumo."
1,6,Cap 6 - Hadoop,Formato,3,0.0145,1.0,0.0145,138,2,"34% das leituras em PDF: demanda por material offline/impresso — garantir PDF atualizado, versão mobile e áudio-resumo."
1,1,Cap 1 - Vamos conhecer novos recursos de engenharia de software?,Formato,3,0.0133,0.4,0.0053,150,2,"28% das leituras em PDF: demanda por material offline/impresso — garantir PDF atualizado, versão mobile e áudio-resumo."
2,7,Cap 7 - Cards e Imagens,Formato,3,0.0,0.941,0.0,137,0,"34% das leituras em PDF: demanda por material offline/impresso — garantir PDF atualizado, versão mobile e áudio-resumo."
