aluno_id,corte,probabilidade,faixa,situacao,fase_atual,recencia_dias,eventos_7d,eventos_14d,eventos_28d,dias_ativos_7d,dias_ativos_28d,tendencia,capitulo_max_fase_atual,pct_capitulos_fase_atual,progresso_28d,capitulos_distintos_28d,quiz_iniciados_28d,quiz_entregues_28d,entregas_28d,semanas_ativas_ultimas_8,share_noite_28d,share_fim_semana_28d,eventos_acumulados,dias_ativos_acumulados,semanas_desde_primeiro_evento,primeiro_evento,ultimo_evento,fator_1,fator_2,fator_3,fatores,acao_sugerida
Aluno 0227,2026-08-23,0.9949,Alto,Inativo >60d,3,122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,17,2026-04-23,2026-04-23,122 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 1 de 10 da Fase 3,122 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 1 de 10 da Fase 3,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0226,2026-08-23,0.994,Alto,Inativo >60d,3,107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,15,2026-05-08,2026-05-08,107 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 1 de 10 da Fase 3,107 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 1 de 10 da Fase 3,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0167,2026-08-23,0.9935,Alto,Inativo >60d,2,152,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,21,2026-03-24,2026-03-24,152 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 2 de 12 da Fase 2,152 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 2 de 12 da Fase 2,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0216,2026-08-23,0.9935,Alto,Inativo >60d,2,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,19,2026-04-07,2026-04-07,138 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 12 da Fase 2,138 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 12 da Fase 2,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0170,2026-08-23,0.9934,Alto,Inativo >60d,1,159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,22,2026-03-17,2026-03-17,159 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 1 de 10 da Fase 1,159 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 1 de 10 da Fase 1,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0178,2026-08-23,0.993,Alto,Inativo >60d,1,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,27,2026-02-09,2026-02-09,195 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 10 da Fase 1,195 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 10 da Fase 1,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0174,2026-08-23,0.993,Alto,Inativo >60d,1,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,27,2026-02-12,2026-02-12,192 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 10 da Fase 1,192 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 10 da Fase 1,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0173,2026-08-23,0.993,Alto,Inativo >60d,1,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,24,2026-03-05,2026-03-05,171 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 10 da Fase 1,171 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 10 da Fase 1,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0171,2026-08-23,0.993,Alto,Inativo >60d,1,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,22,2026-03-16,2026-03-16,160 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 10 da Fase 1,160 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 10 da Fase 1,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0184,2026-08-23,0.9929,Alto,Inativo >60d,4,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,13,2026-05-22,2026-05-22,93 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 11 da Fase 4,93 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 11 da Fase 4,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
