NOME,DT_CORTE,NUM_FASE_ATUAL,NOME_FASE,RECENCIA_DIAS,EVENTOS_7D,EVENTOS_14D,EVENTOS_28D,DIAS_ATIVOS_28D,PROGRESSO_28D,CAPITULOS_DISTINTOS_28D,QUIZ_28D,ENTREGAS_28D,TENDENCIA,PROB_INATIVO_21D,PROB_INATIVO_21D_GLM,FAIXA_RISCO,CAPITULO_MAX_FASE,PCT_CAPITULOS_FASE,PROB_EVASAO_FASE,FATORES_TOP3,ACAO_SUGERIDA,STATUS_ATENDIMENTO,DT_SCORING
Aluno 0178,2026-08-26,1,Fase 1,198,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.9571,RECENCIA_DIAS=198 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0176,2026-08-26,4,Fase 4,197,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.9572,RECENCIA_DIAS=197 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0177,2026-08-26,1,Fase 1,197,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.9566,RECENCIA_DIAS=197 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0174,2026-08-26,1,Fase 1,195,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.956,RECENCIA_DIAS=195 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0175,2026-08-26,4,Fase 4,195,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.9561,RECENCIA_DIAS=195 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0173,2026-08-26,1,Fase 1,174,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.9484,RECENCIA_DIAS=174 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0171,2026-08-26,1,Fase 1,163,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.9436,RECENCIA_DIAS=163 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0170,2026-08-26,1,Fase 1,162,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,1,0.1,0.9524,RECENCIA_DIAS=162 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0218,2026-08-26,2,Fase 2,160,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.9423,RECENCIA_DIAS=160 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0167,2026-08-26,2,Fase 2,155,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,2,0.1667,0.9463,RECENCIA_DIAS=155 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0217,2026-08-26,2,Fase 2,155,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.94,RECENCIA_DIAS=155 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0154,2026-08-26,4,Fase 4,154,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,0,0,0.9397,RECENCIA_DIAS=154 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
Aluno 0215,2026-08-26,2,Fase 2,141,0,0,0,0,0,0,0,0,0,0.9237,1.0,Alto,10,0.8333,0.9332,RECENCIA_DIAS=141 (peso 82.10); DIAS_ATIVOS_28D=0 (peso 36.51); EVENTOS_28D=0 (peso 21.55),Contato ativo do tutor (telefone/WhatsApp) em 48h,PENDENTE,2026-09-08 19:26:31
